Brand,Model,Price (USD),Selling Platform,Rating,Refresh Rate (Hz),Screen Size (inches),RAM (GB),Storage (GB),Processor,Camera Setup
Huawei,Xperia Max 24,335.46,Best Buy,3.6,120,6.4,4,256,Helio G99,48MP + 16MP + 2MP
Huawei,Galaxy S Pro 20,201.04,eBay,4.0,120,5.9,12,512,Dimensity 920,12MP + 16MP + 2MP
Realme,iPhone Mini 21,710.95,Official Store,3.8,144,6.1,12,64,Dimensity 920,48MP + 12MP + 5MP
Google,Narzo Plus 25,700.18,Walmart,4.4,60,7.2,8,1024,Tensor G2,108MP + 8MP + 8MP
Apple,Galaxy S Edge 24,1483.68,AliExpress,3.7,165,6.3,8,512,A15 Bionic,108MP + 8MP + 8MP
Sony,Galaxy S Mini 16,434.11,Flipkart,4.2,165,7.2,12,1024,Helio G99,48MP + 8MP + 5MP
Samsung,Pixel Edge 20,401.91,AliExpress,3.9,90,6.9,16,512,Snapdragon 8 Gen 2,64MP + 8MP + 5MP
Xiaomi,Xperia Lite 19,1458.13,Official Store,3.2,90,6.6,16,128,Snapdragon 7 Gen 1,64MP + 16MP + 8MP
Vivo,Reno Lite 21,1036.08,eBay,4.5,120,6.9,6,128,Helio G99,48MP + 12MP + 2MP
Google,Moto G Ultra 19,1514.24,Amazon,4.2,165,6.8,16,256,Tensor G2,200MP + 16MP + 2MP
Apple,V Series Lite 11,977.0,AliExpress,3.4,120,7.4,12,1024,A16 Bionic,64MP + 16MP + 2MP
Motorola,Moto G SE 11,286.12,Walmart,3.7,165,6.5,4,64,Dimensity 920,108MP + 50MP + 8MP
Sony,Mate Pro 25,551.96,AliExpress,4.6,144,7.5,6,256,Helio G99,48MP + 8MP + 2MP
Google,Moto G Mini 23,1002.6,Walmart,4.4,90,5.3,8,1024,Tensor G1,48MP + 50MP + 5MP
Google,Xperia Turbo 19,792.07,eBay,4.7,90,6.4,6,1024,Tensor G2,200MP + 50MP + 5MP
Nokia,Galaxy S Lite 14,1823.49,Flipkart,4.5,60,6.0,16,128,Dimensity 920,12MP + 16MP + 2MP
Apple,Narzo 5G 19,1455.83,AliExpress,4.5,144,6.4,6,64,A15 Bionic,12MP + 8MP + 2MP
Realme,Redmi Note 5G 21,1411.81,Flipkart,4.6,144,5.6,16,64,Dimensity 920,48MP + 12MP + 5MP
Samsung,Moto G Pro 15,1737.2,Best Buy,3.4,144,7.1,6,64,Exynos 2200,12MP + 50MP + 5MP
Google,Redmi Note Pro 23,1419.98,Flipkart,4.2,165,5.2,6,1024,Tensor G2,64MP + 16MP + 5MP
Apple,Xperia 5G 22,1661.09,Best Buy,3.6,144,5.2,6,512,A15 Bionic,64MP + 50MP + 5MP
Google,V Series Pro 10,1141.69,AliExpress,4.5,60,5.4,6,512,Tensor G2,108MP + 50MP + 8MP
Realme,Moto G Lite 15,217.64,Best Buy,3.6,120,5.5,12,128,Dimensity 920,64MP + 16MP + 5MP
Xiaomi,V Series SE 12,1238.29,Walmart,4.6,90,5.1,16,64,Dimensity 1080,50MP + 12MP + 5MP
Google,Nord Lite 15,1099.54,Flipkart,3.9,165,5.9,16,64,Tensor G1,200MP + 8MP + 8MP
Oppo,Narzo Ultra 11,1959.39,AliExpress,4.0,90,6.8,12,1024,Helio G99,12MP + 50MP + 2MP
OnePlus,Xperia Ultra 14,701.99,Flipkart,3.3,165,7.0,16,1024,Dimensity 9000,12MP + 8MP + 2MP
Sony,P Series Turbo 20,550.91,Flipkart,3.7,60,5.3,16,256,Helio G99,64MP + 8MP + 2MP
Realme,P Series Plus 24,1795.41,Best Buy,3.0,60,6.5,8,1024,Dimensity 920,48MP + 8MP + 8MP
Xiaomi,V Series Mini 20,1408.0,Best Buy,3.7,144,7.0,12,256,Snapdragon 7 Gen 1,48MP + 12MP + 2MP
Google,iPhone 5G 23,1152.15,AliExpress,4.4,60,6.6,6,512,Tensor G1,64MP + 12MP + 5MP
Apple,Redmi Note Mini 25,644.62,Amazon,4.6,144,7.1,6,1024,A16 Bionic,50MP + 12MP + 2MP
Motorola,Narzo Pro 14,607.24,Best Buy,4.2,165,6.3,16,64,Helio G99,50MP + 50MP + 2MP
Vivo,Narzo Mini 17,1646.37,Walmart,3.5,90,6.8,16,64,Dimensity 920,50MP + 50MP + 2MP
Samsung,iPhone SE 22,1646.6,AliExpress,3.0,120,5.4,8,128,Exynos 2200,64MP + 16MP + 8MP
Apple,Nord Plus 25,1614.63,Best Buy,3.4,144,6.4,6,512,A16 Bionic,108MP + 16MP + 8MP
Oppo,Mate Ultra 16,679.77,Flipkart,3.6,144,6.0,16,1024,Dimensity 920,200MP + 50MP + 2MP
OnePlus,Pixel SE 17,1028.43,Official Store,4.8,60,5.8,4,128,Snapdragon 8+ Gen 1,108MP + 16MP + 8MP
Motorola,Nord Turbo 21,263.73,Official Store,4.6,120,5.5,4,64,Helio G99,64MP + 8MP + 8MP
OnePlus,Narzo Ultra 18,1455.6,Walmart,4.9,120,5.2,16,64,Snapdragon 8+ Gen 1,50MP + 12MP + 8MP
Samsung,iPhone Turbo 11,347.52,Flipkart,4.7,165,6.4,16,256,Exynos 2200,50MP + 16MP + 8MP
Motorola,Redmi Note Turbo 19,1233.87,Flipkart,4.0,120,7.0,6,64,Dimensity 920,48MP + 8MP + 8MP
Huawei,Reno Lite 11,1586.71,Walmart,4.6,60,5.6,6,64,Helio G99,48MP + 12MP + 5MP
Motorola,Mate Plus 16,1614.06,Amazon,4.6,165,7.4,16,1024,Helio G99,108MP + 8MP + 5MP
Realme,Pixel Max 20,1399.56,AliExpress,3.7,60,5.2,8,64,Helio G99,200MP + 12MP + 2MP
Vivo,Pixel Pro 25,1709.87,eBay,3.9,120,5.6,8,128,Helio G99,108MP + 16MP + 2MP
Xiaomi,Nord Pro 12,745.4,Flipkart,3.8,144,6.0,6,256,Snapdragon 7 Gen 1,108MP + 16MP + 2MP
Apple,Redmi Note Edge 22,1757.81,AliExpress,4.5,60,5.4,8,256,A16 Bionic,50MP + 8MP + 2MP
Realme,Galaxy S Turbo 15,1307.69,Amazon,4.6,90,7.1,16,64,Dimensity 920,64MP + 12MP + 2MP
Samsung,Moto G Plus 14,1627.5,Flipkart,4.9,120,5.9,6,256,Snapdragon 8 Gen 2,108MP + 16MP + 8MP
Huawei,Redmi Note SE 17,836.2,Reliance Digital,4.9,120,6.8,16,512,Dimensity 920,200MP + 8MP + 5MP
Nokia,V Series Pro 20,1067.38,eBay,4.3,165,6.3,8,128,Helio G99,200MP + 12MP + 5MP
Google,Nord Ultra 14,371.08,Official Store,4.3,165,6.5,8,512,Tensor G1,48MP + 16MP + 5MP
Apple,iPhone SE 11,354.89,Amazon,3.5,144,5.1,16,128,A16 Bionic,48MP + 16MP + 2MP
Xiaomi,Redmi Note Lite 21,1802.47,eBay,3.4,90,6.7,8,512,Dimensity 1080,50MP + 16MP + 8MP
Samsung,P Series Edge 15,238.34,Flipkart,4.5,165,7.0,16,1024,Snapdragon 8 Gen 2,12MP + 8MP + 5MP
Nokia,Galaxy S Lite 12,1109.04,Amazon,3.8,144,5.0,12,512,Dimensity 920,50MP + 12MP + 8MP
Oppo,P Series 5G 13,151.96,Official Store,3.0,90,5.5,8,512,Helio G99,200MP + 50MP + 5MP
Xiaomi,Galaxy S 5G 19,1229.73,Amazon,4.8,144,5.5,12,1024,Dimensity 1080,48MP + 16MP + 8MP
Google,iPhone 5G 11,1000.88,Reliance Digital,3.5,144,6.1,4,512,Tensor G1,64MP + 16MP + 5MP
Google,V Series Plus 23,629.24,Official Store,5.0,165,5.2,6,128,Tensor G1,64MP + 8MP + 2MP
Oppo,Narzo SE 24,1169.31,Reliance Digital,4.9,165,5.9,8,128,Helio G99,108MP + 12MP + 2MP
Realme,Pixel Ultra 18,1119.47,Official Store,4.3,90,6.8,6,512,Dimensity 920,200MP + 12MP + 5MP
Apple,Redmi Note SE 19,1674.29,Best Buy,3.6,144,7.1,6,512,A16 Bionic,108MP + 12MP + 8MP
Sony,Moto G Turbo 17,1087.2,eBay,3.7,120,5.5,16,512,Helio G99,200MP + 50MP + 2MP
Nokia,Redmi Note Mini 25,1371.37,Best Buy,4.4,144,7.0,16,1024,Dimensity 920,48MP + 12MP + 8MP
Nokia,P Series Pro 12,493.12,Reliance Digital,3.8,165,6.8,16,256,Helio G99,200MP + 8MP + 5MP
Xiaomi,Narzo Pro 16,1357.0,AliExpress,5.0,144,7.1,16,128,Snapdragon 7 Gen 1,12MP + 16MP + 8MP
Google,V Series Turbo 10,1909.94,Reliance Digital,5.0,165,6.1,16,512,Tensor G1,48MP + 50MP + 5MP
Sony,Mate Edge 18,1257.18,Walmart,4.7,144,5.1,8,128,Dimensity 920,108MP + 8MP + 5MP
OnePlus,Moto G Lite 17,804.06,Amazon,4.8,144,6.8,16,512,Dimensity 9000,48MP + 16MP + 8MP
Vivo,P Series Turbo 18,1203.55,AliExpress,3.6,144,6.4,6,1024,Helio G99,200MP + 50MP + 5MP
Sony,Nord Edge 21,1768.79,eBay,3.2,120,6.9,6,128,Dimensity 920,64MP + 50MP + 5MP
Oppo,P Series Edge 20,635.0,Walmart,4.1,120,7.2,6,128,Dimensity 920,48MP + 8MP + 5MP
Xiaomi,Galaxy S Turbo 11,1513.82,eBay,3.4,60,5.7,12,64,Snapdragon 7 Gen 1,200MP + 12MP + 8MP
Sony,Moto G Pro 23,1849.02,Flipkart,4.0,90,5.9,16,64,Dimensity 920,64MP + 12MP + 8MP
Sony,V Series SE 10,243.96,Best Buy,4.9,90,5.2,8,64,Dimensity 920,50MP + 50MP + 8MP
Nokia,Galaxy S 5G 14,647.22,eBay,3.1,144,5.2,16,64,Dimensity 920,12MP + 8MP + 8MP
Vivo,Redmi Note Pro 25,234.56,Best Buy,4.6,165,7.3,6,64,Dimensity 920,48MP + 50MP + 5MP
Oppo,Mate Mini 14,464.29,AliExpress,3.9,120,5.9,16,128,Dimensity 920,48MP + 16MP + 5MP
Realme,P Series Ultra 11,491.84,eBay,4.9,60,5.6,8,256,Helio G99,12MP + 8MP + 5MP
Google,Nord Edge 22,481.72,Reliance Digital,3.5,90,6.9,8,512,Tensor G2,108MP + 8MP + 5MP
Xiaomi,Moto G Lite 22,290.59,eBay,3.5,144,7.2,8,64,Snapdragon 7 Gen 1,200MP + 8MP + 2MP
Huawei,Reno Edge 11,1733.22,Flipkart,3.8,60,6.4,8,256,Helio G99,64MP + 12MP + 8MP
Vivo,Moto G Pro 13,1146.99,Best Buy,4.5,90,6.9,12,512,Helio G99,108MP + 50MP + 5MP
Motorola,Redmi Note Mini 20,1580.31,Best Buy,4.7,165,6.1,6,64,Helio G99,48MP + 8MP + 2MP
Oppo,Redmi Note Turbo 10,1131.23,eBay,3.1,60,5.3,16,1024,Helio G99,50MP + 50MP + 8MP
OnePlus,iPhone Max 12,1072.89,Amazon,4.1,90,5.7,8,512,Snapdragon 8+ Gen 1,108MP + 8MP + 5MP
Vivo,Reno SE 11,296.48,Reliance Digital,3.1,120,5.9,4,512,Helio G99,48MP + 50MP + 8MP
Nokia,iPhone SE 20,1748.75,AliExpress,3.1,165,5.7,12,64,Dimensity 920,48MP + 8MP + 8MP
Oppo,Nord SE 23,716.83,Walmart,3.8,120,6.6,8,1024,Helio G99,50MP + 16MP + 2MP
Nokia,Nord Turbo 15,503.31,Best Buy,3.2,120,6.7,12,64,Dimensity 920,200MP + 50MP + 8MP
Nokia,Redmi Note Edge 12,745.83,Best Buy,3.2,60,6.8,12,128,Dimensity 920,12MP + 50MP + 8MP
Xiaomi,Redmi Note SE 18,1175.08,eBay,3.6,120,5.7,4,128,Snapdragon 7 Gen 1,48MP + 50MP + 8MP
Oppo,iPhone Lite 25,365.43,Walmart,3.0,165,5.8,4,512,Dimensity 920,50MP + 16MP + 8MP
Oppo,Reno Pro 21,892.17,Amazon,3.6,90,5.9,4,1024,Helio G99,108MP + 12MP + 5MP
Google,Mate Max 18,232.99,Amazon,4.1,165,5.4,4,512,Tensor G1,48MP + 16MP + 5MP
Xiaomi,Pixel 5G 12,1977.02,eBay,3.5,120,7.3,16,512,Snapdragon 7 Gen 1,48MP + 50MP + 2MP
Samsung,Pixel Pro 16,1681.35,Best Buy,3.8,60,5.8,4,128,Snapdragon 8 Gen 2,200MP + 16MP + 8MP
Vivo,P Series SE 19,559.13,Best Buy,3.1,144,7.4,6,1024,Helio G99,48MP + 16MP + 8MP
OnePlus,Galaxy S Pro 10,1421.86,Reliance Digital,4.6,120,5.9,4,128,Snapdragon 8+ Gen 1,108MP + 12MP + 2MP
Vivo,Galaxy S SE 23,1077.67,Best Buy,3.9,120,5.2,4,256,Dimensity 920,108MP + 8MP + 5MP
Motorola,Redmi Note Edge 23,1555.13,AliExpress,3.3,60,6.5,4,64,Helio G99,12MP + 8MP + 5MP
Motorola,Galaxy S Ultra 16,379.61,Reliance Digital,4.2,165,6.5,12,64,Helio G99,12MP + 12MP + 5MP
Huawei,iPhone Turbo 21,1337.47,Flipkart,4.2,60,5.8,4,64,Helio G99,200MP + 50MP + 5MP
Sony,Xperia Mini 22,1970.26,Flipkart,4.3,120,6.1,12,1024,Dimensity 920,48MP + 8MP + 5MP
Google,Reno Turbo 17,920.67,Amazon,3.3,60,6.2,6,64,Tensor G1,48MP + 50MP + 5MP
Xiaomi,Mate Edge 25,1797.42,Official Store,3.2,120,6.9,12,512,Snapdragon 7 Gen 1,200MP + 8MP + 8MP
Xiaomi,Mate Lite 18,704.93,Flipkart,3.6,120,5.8,16,256,Snapdragon 7 Gen 1,64MP + 8MP + 5MP
Motorola,Xperia Edge 15,381.5,Flipkart,3.7,60,5.8,8,64,Helio G99,200MP + 50MP + 5MP
Samsung,Narzo Mini 16,1384.21,Flipkart,4.6,165,5.5,6,512,Snapdragon 8 Gen 2,64MP + 50MP + 5MP
Apple,Reno Turbo 24,1508.64,Walmart,3.9,60,5.2,8,512,A16 Bionic,64MP + 16MP + 5MP
Google,Narzo 5G 13,215.72,Official Store,3.6,144,5.0,12,64,Tensor G1,200MP + 16MP + 2MP
Vivo,iPhone Max 13,1590.19,Reliance Digital,4.1,120,6.2,12,512,Helio G99,200MP + 16MP + 2MP
Oppo,Redmi Note SE 22,1472.9,eBay,4.4,60,7.3,4,1024,Dimensity 920,64MP + 12MP + 2MP
Nokia,Mate Plus 10,1057.01,Flipkart,3.7,90,5.0,12,64,Dimensity 920,12MP + 16MP + 5MP
Realme,Nord SE 16,458.55,Official Store,3.6,144,6.4,8,512,Helio G99,48MP + 50MP + 5MP
Xiaomi,Nord Ultra 19,405.08,Official Store,4.6,90,6.4,6,64,Dimensity 1080,64MP + 16MP + 8MP
Apple,Redmi Note SE 17,267.05,Flipkart,4.3,90,5.2,12,512,A16 Bionic,48MP + 50MP + 5MP
OnePlus,Xperia Turbo 10,1535.82,eBay,4.4,60,6.6,16,64,Snapdragon 8+ Gen 1,200MP + 50MP + 5MP
Realme,Nord Max 20,960.77,AliExpress,4.9,90,7.1,16,64,Helio G99,12MP + 50MP + 2MP
Sony,Galaxy S Edge 21,1817.73,Best Buy,5.0,120,5.6,8,1024,Dimensity 920,48MP + 16MP + 5MP
Google,Xperia Edge 13,1108.39,Flipkart,3.2,60,7.1,4,1024,Tensor G1,64MP + 8MP + 8MP
Samsung,P Series Lite 19,1300.07,Flipkart,3.0,144,5.5,4,256,Exynos 2200,48MP + 12MP + 2MP
Samsung,Mate Mini 24,1709.1,Official Store,3.5,90,7.0,12,64,Snapdragon 8 Gen 2,50MP + 50MP + 5MP
Vivo,iPhone Ultra 21,508.12,AliExpress,4.8,90,7.0,8,64,Helio G99,50MP + 8MP + 8MP
Oppo,Xperia Max 12,1221.74,Best Buy,4.3,120,6.3,6,512,Dimensity 920,108MP + 8MP + 8MP
Xiaomi,Mate Mini 24,298.48,Walmart,4.9,165,6.5,16,256,Dimensity 1080,64MP + 16MP + 8MP
Google,Mate Pro 17,244.54,Reliance Digital,3.5,165,6.3,6,256,Tensor G2,64MP + 8MP + 8MP
Apple,P Series Lite 18,901.42,Reliance Digital,4.4,144,6.6,16,1024,A15 Bionic,12MP + 12MP + 5MP
Google,P Series Max 10,1236.64,Amazon,3.1,144,5.9,16,512,Tensor G2,48MP + 12MP + 8MP
OnePlus,Pixel Max 18,1184.89,Walmart,4.6,144,6.1,4,128,Dimensity 9000,200MP + 8MP + 8MP
Google,V Series Edge 16,388.91,Reliance Digital,4.1,90,6.2,8,128,Tensor G2,50MP + 12MP + 8MP
Xiaomi,Mate Lite 12,402.46,eBay,3.3,144,6.1,16,128,Snapdragon 7 Gen 1,108MP + 50MP + 8MP
Xiaomi,Reno 5G 12,730.72,Walmart,3.0,60,6.3,6,512,Snapdragon 7 Gen 1,64MP + 16MP + 2MP
Samsung,Narzo 5G 24,1619.29,Reliance Digital,3.5,165,7.0,12,64,Exynos 2200,64MP + 50MP + 2MP
Vivo,Xperia 5G 24,1833.07,eBay,3.4,90,7.4,6,1024,Dimensity 920,108MP + 16MP + 5MP
Realme,Redmi Note Turbo 17,285.72,Amazon,3.4,120,5.8,8,64,Dimensity 920,108MP + 12MP + 2MP
Sony,iPhone 5G 25,1323.57,eBay,4.1,60,6.0,8,64,Dimensity 920,50MP + 50MP + 5MP
Nokia,Pixel Edge 17,819.39,Flipkart,5.0,144,5.2,4,64,Dimensity 920,108MP + 12MP + 2MP
Motorola,Reno 5G 19,1173.94,Amazon,4.8,60,6.9,16,64,Helio G99,64MP + 16MP + 8MP
Sony,Pixel Mini 11,1309.95,Official Store,3.3,144,7.1,16,64,Dimensity 920,50MP + 12MP + 2MP
Samsung,P Series SE 21,953.18,Walmart,5.0,144,6.6,16,512,Exynos 2200,108MP + 50MP + 2MP
Xiaomi,Narzo Max 22,440.11,Flipkart,3.8,90,7.2,12,64,Dimensity 1080,50MP + 8MP + 2MP
Xiaomi,Moto G Turbo 25,1682.7,Walmart,5.0,165,6.3,6,512,Snapdragon 7 Gen 1,200MP + 50MP + 5MP
Apple,Nord Ultra 24,1046.15,Walmart,4.5,60,7.1,4,512,A15 Bionic,12MP + 12MP + 8MP
Google,Mate Edge 18,392.67,Walmart,4.3,120,5.8,4,64,Tensor G2,48MP + 12MP + 2MP
Xiaomi,P Series 5G 12,664.9,Walmart,3.7,60,5.4,4,256,Snapdragon 7 Gen 1,50MP + 16MP + 2MP
Apple,Narzo Max 19,1965.74,Walmart,4.4,60,6.8,8,128,A16 Bionic,108MP + 8MP + 5MP
Samsung,Mate Edge 20,496.51,eBay,4.4,120,5.1,4,256,Exynos 2200,108MP + 8MP + 8MP
Samsung,P Series 5G 12,1874.75,Walmart,4.5,144,5.4,6,512,Exynos 2200,64MP + 16MP + 8MP
Samsung,Mate Edge 25,389.26,Official Store,3.2,60,5.4,12,128,Exynos 2200,48MP + 16MP + 8MP
Sony,Galaxy S Plus 19,1961.13,Reliance Digital,3.5,120,6.7,6,256,Dimensity 920,12MP + 12MP + 2MP
Motorola,Galaxy S Turbo 12,1721.88,eBay,4.3,144,5.1,8,256,Helio G99,200MP + 16MP + 2MP
OnePlus,Moto G Pro 22,656.91,Amazon,3.2,60,7.2,6,512,Dimensity 9000,108MP + 16MP + 8MP
Oppo,Mate Turbo 24,1513.9,Amazon,4.7,90,5.8,6,256,Helio G99,200MP + 12MP + 2MP
Huawei,Redmi Note Lite 10,1127.82,Reliance Digital,4.8,60,6.9,16,512,Dimensity 920,50MP + 50MP + 2MP
Google,Galaxy S Turbo 17,849.58,Official Store,4.8,165,5.3,12,512,Tensor G1,64MP + 8MP + 8MP
Samsung,Narzo Ultra 24,900.68,Reliance Digital,5.0,60,6.6,6,128,Snapdragon 8 Gen 2,48MP + 50MP + 8MP
Vivo,Reno SE 10,1072.0,Reliance Digital,5.0,165,7.5,8,256,Dimensity 920,108MP + 16MP + 8MP
Vivo,P Series Turbo 23,1302.97,eBay,3.2,120,6.2,4,512,Dimensity 920,64MP + 8MP + 5MP
Vivo,Nord Turbo 24,1064.33,AliExpress,3.6,165,5.4,8,1024,Dimensity 920,12MP + 8MP + 5MP
Realme,Moto G Turbo 11,1034.38,Walmart,4.8,120,5.9,16,64,Dimensity 920,48MP + 12MP + 2MP
Oppo,Moto G Edge 10,1018.64,AliExpress,3.2,144,5.3,6,512,Helio G99,50MP + 12MP + 5MP
Motorola,iPhone Pro 16,1161.03,AliExpress,3.1,120,5.6,8,256,Dimensity 920,12MP + 12MP + 2MP
Motorola,Xperia 5G 16,312.82,Official Store,4.9,144,5.4,16,64,Dimensity 920,108MP + 8MP + 5MP
Vivo,iPhone Pro 25,1655.2,Best Buy,4.8,144,5.7,6,64,Helio G99,108MP + 8MP + 5MP
Nokia,Reno Mini 24,1597.34,Official Store,3.9,90,6.7,8,256,Dimensity 920,12MP + 8MP + 8MP
Huawei,Redmi Note Mini 19,265.64,Reliance Digital,3.5,144,7.3,16,1024,Helio G99,50MP + 8MP + 5MP
Oppo,Reno Mini 20,841.27,Official Store,4.1,144,7.4,16,128,Helio G99,12MP + 50MP + 8MP
OnePlus,Reno 5G 15,1912.58,Official Store,4.9,60,5.2,6,256,Dimensity 9000,50MP + 8MP + 2MP
Vivo,Reno 5G 17,1731.46,Best Buy,4.5,120,6.0,8,256,Dimensity 920,50MP + 8MP + 8MP
Sony,Nord 5G 21,1405.64,AliExpress,4.1,60,6.7,4,256,Helio G99,108MP + 8MP + 8MP
Vivo,V Series Ultra 12,475.78,Walmart,3.8,90,6.9,6,128,Dimensity 920,200MP + 16MP + 8MP
Apple,V Series Mini 14,1595.13,Flipkart,4.2,144,7.3,8,1024,A15 Bionic,108MP + 12MP + 8MP
Google,Xperia Lite 12,1011.01,Official Store,3.6,144,5.2,8,64,Tensor G1,48MP + 8MP + 8MP
Nokia,Moto G Plus 17,1674.24,eBay,3.4,165,7.3,12,128,Dimensity 920,108MP + 8MP + 2MP
Vivo,Galaxy S Turbo 13,1048.72,Reliance Digital,4.4,144,7.3,16,64,Dimensity 920,50MP + 12MP + 5MP
Apple,Pixel Pro 25,485.67,AliExpress,4.7,165,6.9,8,1024,A16 Bionic,12MP + 50MP + 8MP
Apple,Nord Ultra 24,1400.23,eBay,3.7,120,6.2,12,1024,A15 Bionic,64MP + 50MP + 8MP
Nokia,Nord Pro 19,1010.31,Amazon,3.5,60,5.3,16,128,Helio G99,200MP + 16MP + 8MP
Vivo,V Series Mini 14,584.04,Best Buy,3.8,165,6.4,8,1024,Dimensity 920,48MP + 8MP + 5MP
OnePlus,Reno Ultra 11,1364.71,AliExpress,4.1,120,7.3,12,128,Dimensity 9000,64MP + 12MP + 2MP
Nokia,Galaxy S Plus 13,1325.69,Reliance Digital,4.5,120,7.2,8,1024,Helio G99,200MP + 50MP + 2MP
Google,Reno Edge 14,1293.78,Official Store,4.0,90,6.0,8,64,Tensor G2,64MP + 12MP + 8MP
Motorola,Redmi Note Ultra 24,1165.19,Official Store,3.3,60,5.5,16,64,Dimensity 920,12MP + 12MP + 8MP
Google,Galaxy S Ultra 14,1968.58,Reliance Digital,4.9,120,6.9,4,512,Tensor G2,200MP + 8MP + 2MP
Samsung,Narzo Plus 22,447.03,AliExpress,3.4,60,6.3,6,64,Exynos 2200,108MP + 50MP + 8MP
OnePlus,Xperia Max 11,1601.43,Official Store,4.8,120,5.9,4,512,Dimensity 9000,108MP + 12MP + 8MP
Nokia,Pixel Edge 16,815.38,AliExpress,4.0,165,6.8,6,64,Helio G99,50MP + 16MP + 5MP
Realme,Mate Ultra 10,1603.62,Best Buy,5.0,60,5.3,6,256,Dimensity 920,50MP + 50MP + 8MP
Vivo,Narzo Lite 21,388.3,eBay,4.1,120,6.5,8,64,Dimensity 920,64MP + 12MP + 5MP
Oppo,Moto G Mini 11,1062.5,Amazon,3.0,60,5.9,4,256,Helio G99,48MP + 50MP + 2MP
Apple,V Series Max 25,844.82,Amazon,3.2,90,6.6,12,128,A15 Bionic,48MP + 16MP + 5MP
Huawei,Mate Edge 24,1779.05,Best Buy,4.7,90,6.0,6,256,Helio G99,50MP + 16MP + 2MP
Motorola,Xperia SE 14,739.52,eBay,4.3,165,7.4,16,64,Dimensity 920,200MP + 12MP + 8MP
Oppo,Mate Pro 25,1845.14,Amazon,3.3,90,5.1,6,1024,Helio G99,50MP + 50MP + 8MP
Samsung,Nord Ultra 11,618.37,AliExpress,4.4,90,5.3,16,256,Exynos 2200,48MP + 16MP + 2MP
Google,Pixel SE 16,1443.26,Flipkart,4.0,144,6.2,12,128,Tensor G1,108MP + 12MP + 5MP
OnePlus,Pixel Max 13,1403.34,Reliance Digital,3.5,60,6.9,8,64,Dimensity 9000,50MP + 16MP + 5MP
OnePlus,Reno Lite 12,1256.17,AliExpress,5.0,120,6.4,16,256,Dimensity 9000,108MP + 8MP + 5MP
Xiaomi,Nord Edge 22,1866.75,Flipkart,4.5,90,5.5,12,128,Dimensity 1080,64MP + 50MP + 5MP
Apple,Moto G Edge 10,875.75,Walmart,4.8,120,5.3,8,128,A16 Bionic,50MP + 8MP + 2MP
Realme,Reno Pro 21,929.26,Walmart,4.4,60,6.6,16,1024,Dimensity 920,200MP + 16MP + 8MP
Motorola,Mate Turbo 17,415.47,Amazon,3.0,120,5.6,6,256,Helio G99,108MP + 12MP + 5MP
Vivo,Galaxy S Turbo 15,1496.29,AliExpress,4.8,165,5.6,4,1024,Dimensity 920,50MP + 50MP + 2MP
Realme,Reno Lite 14,1933.26,AliExpress,3.8,144,5.3,6,128,Dimensity 920,64MP + 16MP + 8MP
Realme,Pixel Max 12,1927.77,eBay,4.2,165,5.8,8,64,Dimensity 920,12MP + 12MP + 2MP
Samsung,Reno Ultra 11,494.79,Walmart,4.9,90,7.4,4,1024,Exynos 2200,48MP + 16MP + 2MP
Samsung,iPhone Mini 14,714.99,Amazon,4.3,144,6.3,12,1024,Snapdragon 8 Gen 2,48MP + 12MP + 8MP
Motorola,Xperia Lite 13,424.18,Walmart,4.7,165,5.6,8,256,Dimensity 920,48MP + 16MP + 5MP
OnePlus,Mate Edge 19,1867.75,eBay,4.5,144,5.4,12,64,Snapdragon 8+ Gen 1,12MP + 50MP + 2MP
Samsung,V Series Max 21,914.78,Flipkart,4.2,120,7.3,8,512,Exynos 2200,50MP + 8MP + 5MP
Oppo,Redmi Note Lite 22,877.32,Best Buy,3.6,120,6.1,4,1024,Helio G99,64MP + 8MP + 5MP
Nokia,Mate Max 19,1323.01,eBay,4.3,144,6.1,16,256,Dimensity 920,50MP + 12MP + 2MP
Xiaomi,Moto G Mini 11,1422.89,Walmart,4.8,90,5.3,12,64,Snapdragon 7 Gen 1,50MP + 16MP + 5MP
Xiaomi,Moto G Turbo 23,995.04,Reliance Digital,4.7,165,5.6,8,64,Snapdragon 7 Gen 1,50MP + 12MP + 8MP
OnePlus,Galaxy S Ultra 16,1785.28,eBay,4.4,60,7.1,6,512,Snapdragon 8+ Gen 1,200MP + 8MP + 8MP
Huawei,Nord 5G 14,1913.92,Amazon,4.0,144,6.4,16,64,Helio G99,108MP + 16MP + 8MP
Huawei,Narzo Lite 18,1526.54,Reliance Digital,3.2,90,6.9,4,512,Dimensity 920,108MP + 12MP + 2MP
Samsung,Redmi Note 5G 10,459.1,Official Store,3.3,165,7.5,4,512,Exynos 2200,200MP + 50MP + 8MP
Motorola,P Series Ultra 11,1110.61,Amazon,3.5,165,5.1,16,512,Dimensity 920,48MP + 50MP + 8MP
Motorola,Moto G Turbo 22,1303.22,Official Store,4.0,60,6.5,6,1024,Dimensity 920,108MP + 50MP + 2MP
Apple,Redmi Note Edge 18,1237.78,Walmart,4.2,165,5.7,16,64,A16 Bionic,64MP + 8MP + 8MP
Samsung,V Series Max 10,1206.64,Flipkart,4.0,144,5.1,12,1024,Exynos 2200,108MP + 8MP + 5MP
